"player";"lineup";"post";"matchday"
"Aaron Ramsey";"bench";"Central Midfield";23
"Theo Walcott";"bench";"Right Wing";23
"Edward Nketiah";"bench";"Centre-Forward";23
"Petr Cech";"starting";"Keeper";24
"Laurent Koscielny";"starting";"Centre-Back";24
"Shkodran Mustafi";"starting";"Centre-Back";24
"Nacho Monreal";"starting";"Left-Back";24
"Héctor Bellerín";"starting";"Right-Back";24
"Mohamed Elneny";"starting";"Defensive Midfield";24
"Granit Xhaka";"starting";"Central Midfield";24
"Jack Wilshere";"starting";"Central Midfield";24
"Alex Iwobi";"starting";"Left Wing";24
"Mesut Özil";"starting";"Right Wing";24
"Alexandre Lacazette";"starting";"Centre-Forward";24
"David Ospina";"bench";"Keeper";24
"Per Mertesacker";"bench";"Centre-Back";24
"Calum Chambers";"bench";"Centre-Back";24
"Sead Kolasinac";"bench";"Left Midfield";24
"Ainsley Maitland-Niles";"bench";"Left-Back";24
"Reiss Nelson";"bench";"Right Midfield";24
"Edward Nketiah";"bench";"Centre-Forward";24
