"player";"lineup";"post";"matchday"
"Nacho Monreal";"starting";"Left-Back";24
"Héctor Bellerín";"starting";"Right-Back";24
"Francis Coquelin";"starting";"Defensive Midfield";24
"Alex Oxlade-Chamberlain";"starting";"Central Midfield";24
"Mesut Özil";"starting";"Attacking Midfield";24
"Alex Iwobi";"starting";"Left Wing";24
"Theo Walcott";"starting";"Right Wing";24
"Alexis Sánchez";"starting";"Centre-Forward";24
"David Ospina";"bench";"Keeper";24
"Gabriel Paulista";"bench";"Right-Back";24
"Kieran Gibbs";"bench";"Left-Back";24
"Jeff Reine-Adelaide";"bench";"Central Midfield";24
"Ainsley Maitland-Niles";"bench";"Right Midfield";24
"Olivier Giroud";"bench";"Centre-Forward";24
"Danny Welbeck";"bench";"Left Wing";24
"Petr Cech";"starting";"Keeper";25
"Laurent Koscielny";"starting";"Centre-Back";25
"Shkodran Mustafi";"starting";"Centre-Back";25
"Kieran Gibbs";"starting";"Left-Back";25
"Héctor Bellerín";"starting";"Right-Back";25
"Francis Coquelin";"starting";"Defensive Midfield";25
"Alex Oxlade-Chamberlain";"starting";"Central Midfield";25
"Mesut Özil";"starting";"Attacking Midfield";25
"Alex Iwobi";"starting";"Left Wing";25
"Theo Walcott";"starting";"Right Wing";25
"Alexis Sánchez";"starting";"Centre-Forward";25
"David Ospina";"bench";"Keeper";25
"Gabriel Paulista";"bench";"Centre-Back";25
"Nacho Monreal";"bench";"Left-Back";25
"Mohamed Elneny";"bench";"Central Midfield";25
"Lucas Pérez";"bench";"Right Wing";25
"Olivier Giroud";"bench";"Centre-Forward";25
"Danny Welbeck";"bench";"Left Wing";25
"Petr Cech";"starting";"Keeper";26
"Rob Holding";"starting";"Centre-Back";26
"Shkodran Mustafi";"starting";"Centre-Back";26
"Nacho Monreal";"starting";"Centre-Back";26
"Granit Xhaka";"starting";"Defensive Midfield";26
"Aaron Ramsey";"starting";"Defensive Midfield";26
"Alex Oxlade-Chamberlain";"starting";"Right Midfield";26
"Kieran Gibbs";"starting";"Left Midfield";26
"Mesut Özil";"starting";"Attacking Midfield";26
"Alexis Sánchez";"starting";"Attacking Midfield";26
"Danny Welbeck";"starting";"Centre-Forward";26
"David Ospina";"bench";"Keeper";26
"Gabriel Paulista";"bench";"Centre-Back";26
"Héctor Bellerín";"bench";"Right-Back";26
"Francis Coquelin";"bench";"Defensive Midfield";26
"Alex Iwobi";"bench";"Left Wing";26
"Theo Walcott";"bench";"Right Wing";26
"Olivier Giroud";"bench";"Centre-Forward";26
"Petr Cech";"starting";"Keeper";27
"Laurent Koscielny";"starting";"Centre-Back";27
"Shkodran Mustafi";"starting";"Centre-Back";27
"Nacho Monreal";"starting";"Left-Back";27
"Héctor Bellerín";"starting";"Right-Back";27
"Granit Xhaka";"starting";"Defensive Midfield";27
"Francis Coquelin";"starting";"Defensive Midfield";27
"Alex Oxlade-Chamberlain";"starting";"Right Midfield";27
"Alex Iwobi";"starting";"Attacking Midfield";27
"Danny Welbeck";"starting";"Left Wing";27
"Olivier Giroud";"starting";"Centre-Forward";27
"David Ospina";"bench";"Keeper";27
"Gabriel Paulista";"bench";"Centre-Back";27
