"player";"lineup";"post";"matchday"
"Arnaud Souquet";"starting";"Right-Back";22
"Wylan Cyprien";"starting";"Defensive Midfield";22
"Jean Michaël Seri";"starting";"Central Midfield";22
"Vincent Koziello";"starting";"Central Midfield";22
"Valentin Eysseric";"starting";"Left Wing";22
"Alassane Pléa";"starting";"Right Wing";22
"Mario Balotelli";"starting";"Centre-Forward";22
"Walter Benítez";"bench";"Keeper";22
"Maxime Le Marchand";"bench";"Centre-Back";22
"Paul Baysse";"bench";"Centre-Back";22
"Patrick Burner";"bench";"Right-Back";22
"Rémi Walter";"bench";"Defensive Midfield";22
"Vincent Marcel";"bench";"Right Wing";22
"Anastasios Donis";"bench";"Centre-Forward";22
"Yoan Cardinale";"starting";"Keeper";23
"Dante";"starting";"Centre-Back";23
"Malang Sarr";"starting";"Centre-Back";23
"Paul Baysse";"starting";"Centre-Back";23
"Jean Michaël Seri";"starting";"Central Midfield";23
"Wylan Cyprien";"starting";"Central Midfield";23
"Arnaud Souquet";"starting";"Right Midfield";23
"Dalbert";"starting";"Left Midfield";23
"Valentin Eysseric";"starting";"Left Wing";23
"Alassane Pléa";"starting";"Right Wing";23
"Mario Balotelli";"starting";"Centre-Forward";23
"Walter Benítez";"bench";"Keeper";23
"Maxime Le Marchand";"bench";"Centre-Back";23
"Patrick Burner";"bench";"Right-Back";23
"Rémi Walter";"bench";"Defensive Midfield";23
"Vincent Koziello";"bench";"Central Midfield";23
"Younès Belhanda";"bench";"Attacking Midfield";23
"Anastasios Donis";"bench";"Centre-Forward";23
"Yoan Cardinale";"starting";"Keeper";24
"Dante";"starting";"Centre-Back";24
"Paul Baysse";"starting";"Centre-Back";24
"Dalbert";"starting";"Left-Back";24
"Arnaud Souquet";"starting";"Right-Back";24
"Wylan Cyprien";"starting";"Defensive Midfield";24
"Rémi Walter";"starting";"Central Midfield";24
"Jean Michaël Seri";"starting";"Central Midfield";24
"Younès Belhanda";"starting";"Left Wing";24
"Valentin Eysseric";"starting";"Right Wing";24
"Alassane Pléa";"starting";"Centre-Forward";24
"Walter Benítez";"bench";"Keeper";24
"Maxime Le Marchand";"bench";"Centre-Back";24
"Patrick Burner";"bench";"Right-Back";24
"Mounir Obbadi";"bench";"Central Midfield";24
"Bassem Srarfi";"bench";"Right Wing";24
"Vincent Marcel";"bench";"Right Wing";24
"Mario Balotelli";"bench";"Centre-Forward";24
"Yoan Cardinale";"starting";"Keeper";25
"Dante";"starting";"Centre-Back";25
"Paul Baysse";"starting";"Centre-Back";25
"Dalbert";"starting";"Left-Back";25
"Arnaud Souquet";"starting";"Right-Back";25
"Wylan Cyprien";"starting";"Defensive Midfield";25
"Jean Michaël Seri";"starting";"Central Midfield";25
"Vincent Koziello";"starting";"Central Midfield";25
"Younès Belhanda";"starting";"Left Wing";25
"Valentin Eysseric";"starting";"Right Wing";25
"Alassane Pléa";"starting";"Centre-Forward";25
"Walter Benítez";"bench";"Keeper";25
"Maxime Le Marchand";"bench";"Centre-Back";25
"Patrick Burner";"bench";"Right-Back";25
"Rémi Walter";"bench";"Defensive Midfield";25
"Mounir Obbadi";"bench";"Central Midfield";25
"Bassem Srarfi";"bench";"Right Wing";25
"Anastasios Donis";"bench";"Centre-Forward";25
"Yoan Cardinale";"starting";"Keeper";26
"Dante";"starting";"Centre-Back";26
"Paul Baysse";"starting";"Centre-Back";26
"Dalbert";"starting";"Left-Back";26
"Arnaud Souquet";"starting";"Right-Back";26
"Wylan Cyprien";"starting";"Defensive Midfield";26
"Jean Michaël Seri";"starting";"Central Midfield";26
"Mounir Obbadi";"starting";"Central Midfield";26
"Younès Belhanda";"starting";"Left Wing";26
"Valentin Eysseric";"starting";"Right Wing";26
"Mario Balotelli";"starting";"Centre-Forward";26
"Walter Benítez";"bench";"Keeper";26
"Maxime Le Marchand";"bench";"Centre-Back";26
"Patrick Burner";"bench";"Right-Back";26
"Rémi Walter";"bench";"Defensive Midfield";26
"Vincent Koziello";"bench";"Central Midfield";26
"Bassem Srarfi";"bench";"Right Wing";26
"Anastasios Donis";"bench";"Centre-Forward";26
"Yoan Cardinale";"starting";"Keeper";27
"Dante";"starting";"Centre-Back";27
"Paul Baysse";"starting";"Centre-Back";27
"Dalbert";"starting";"Left-Back";27
"Arnaud Souquet";"starting";"Right-Back";27
"Mounir Obbadi";"starting";"Defensive Midfield";27
"Jean Michaël Seri";"starting";"Central Midfield";27
"Wylan Cyprien";"starting";"Central Midfield";27
"Younès Belhanda";"starting";"Left Wing";27
"Valentin Eysseric";"starting";"Right Wing";27
"Anastasios Donis";"starting";"Centre-Forward";27
"Walter Benítez";"bench";"Keeper";27
"Maxime Le Marchand";"bench";"Centre-Back";27
"Patrick Burner";"bench";"Right-Back";27
"Rémi Walter";"bench";"Defensive Midfield";27
"Vincent Koziello";"bench";"Central Midfield";27
"Bassem Srarfi";"bench";"Right Wing";27
"Mickaël Le Bihan";"bench";"Centre-Forward";27
"Yoan Cardinale";"starting";"Keeper";28
"Dante";"starting";"Centre-Back";28
"Paul Baysse";"starting";"Centre-Back";28
"Dalbert";"starting";"Left-Back";28
"Arnaud Souquet";"starting";"Right-Back";28
"Wylan Cyprien";"starting";"Defensive Midfield";28
"Rémi Walter";"starting";"Central Midfield";28
"Jean Michaël Seri";"starting";"Central Midfield";28
"Younès Belhanda";"starting";"Left Wing";28
"Valentin Eysseric";"starting";"Right Wing";28
"Mario Balotelli";"starting";"Centre-Forward";28
"Walter Benítez";"bench";"Keeper";28
"Maxime Le Marchand";"bench";"Centre-Back";28
"Patrick Burner";"bench";"Right-Back";28
"Vincent Koziello";"bench";"Central Midfield";28
"Vincent Marcel";"bench";"Right Wing";28
"Mickaël Le Bihan";"bench";"Centre-Forward";28
"Yoan Cardinale";"starting";"Keeper";29
"Dante";"starting";"Centre-Back";29
"Paul Baysse";"starting";"Centre-Back";29
"Dalbert";"starting";"Left-Back";29
"Arnaud Souquet";"starting";"Right-Back";29
"Wylan Cyprien";"starting";"Defensive Midfield";29
"Rémi Walter";"starting";"Central Midfield";29
"Jean Michaël Seri";"starting";"Central Midfield";29
"Valentin Eysseric";"starting";"Left Wing";29
"Vincent Marcel";"starting";"Right Wing";29
"Mario Balotelli";"starting";"Centre-Forward";29
"Walter Benítez";"bench";"Keeper";29
"Malang Sarr";"bench";"Centre-Back";29
"Ricardo Pereira";"bench";"Right-Back";29
"Mounir Obbadi";"bench";"Central Midfield";29
"Vincent Koziello";"bench";"Central Midfield";29
"Anastasios Donis";"bench";"Centre-Forward";29
"Mickaël Le Bihan";"bench";"Centre-Forward";29
"Yoan Cardinale";"starting";"Keeper";30
"Maxime Le Marchand";"starting";"Centre-Back";30
"Dante";"starting";"Centre-Back";30
"Dalbert";"starting";"Left-Back";30
"Arnaud Souquet";"starting";"Right-Back";30
"Jean Michaël Seri";"starting";"Central Midfield";30
"Mounir Obbadi";"starting";"Central Midfield";30
"Ricardo Pereira";"starting";"Right Midfield";30
"Younès Belhanda";"starting";"Attacking Midfield";30
"Valentin Eysseric";"starting";"Left Wing";30
"Mario Balotelli";"starting";"Centre-Forward";30
"Walter Benítez";"bench";"Keeper";30
"Malang Sarr";"bench";"Centre-Back";30
"Vincent Koziello";"bench";"Central Midfield";30
"Bassem Srarfi";"bench";"Right Wing";30
"Vincent Marcel";"bench";"Right Wing";30
"Anastasios Donis";"bench";"Centre-Forward";30
"Mickaël Le Bihan";"bench";"Centre-Forward";30
"Yoan Cardinale";"starting";"Keeper";31
"Maxime Le Marchand";"starting";"Centre-Back";31
"Dante";"starting";"Centre-Back";31
"Dalbert";"starting";"Left-Back";31
"Arnaud Souquet";"starting";"Right-Back";31
"Jean Michaël Seri";"starting";"Central Midfield";31
"Vincent Koziello";"starting";"Central Midfield";31
"Ricardo Pereira";"starting";"Right Midfield";31
"Younès Belhanda";"starting";"Attacking Midfield";31
"Valentin Eysseric";"starting";"Left Wing";31
"Mario Balotelli";"starting";"Centre-Forward";31
"Walter Benítez";"bench";"Keeper";31
"Malang Sarr";"bench";"Centre-Back";31
"Patrick Burner";"bench";"Right-Back";31
"Bassem Srarfi";"bench";"Right Wing";31
"Vincent Marcel";"bench";"Right Wing";31
"Anastasios Donis";"bench";"Centre-Forward";31
"Mickaël Le Bihan";"bench";"Centre-Forward";31
"Yoan Cardinale";"starting";"Keeper";32
"Maxime Le Marchand";"starting";"Centre-Back";32
"Dante";"starting";"Centre-Back";32
"Dalbert";"starting";"Left-Back";32
"Arnaud Souquet";"starting";"Right-Back";32
"Jean Michaël Seri";"starting";"Central Midfield";32
"Vincent Koziello";"starting";"Central Midfield";32
"Ricardo Pereira";"starting";"Right Midfield";32
"Younès Belhanda";"starting";"Attacking Midfield";32
"Valentin Eysseric";"starting";"Left Wing";32
"Mario Balotelli";"starting";"Centre-Forward";32
"Walter Benítez";"bench";"Keeper";32
"Malang Sarr";"bench";"Centre-Back";32
"Patrick Burner";"bench";"Right-Back";32
"Rémi Walter";"bench";"Defensive Midfield";32
"Bassem Srarfi";"bench";"Right Wing";32
"Anastasios Donis";"bench";"Centre-Forward";32
"Mickaël Le Bihan";"bench";"Centre-Forward";32
"Yoan Cardinale";"starting";"Keeper";33
"Maxime Le Marchand";"starting";"Centre-Back";33
"Dante";"starting";"Centre-Back";33
"Dalbert";"starting";"Left-Back";33
"Arnaud Souquet";"starting";"Right-Back";33
"Jean Michaël Seri";"starting";"Defensive Midfield";33
"Vincent Koziello";"starting";"Defensive Midfield";33
