"player";"lineup";"matchday"
"Hal Robson-Kanu ";"bench";29
"Jonathan Leko ";"bench";29
"David Ospina ";"player";30
"Laurent Koscielny  ";"player";30
"Shkodran Mustafi ";"player";30
"Nacho Monreal ";"player";30
"Héctor Bellerín ";"player";30
"Granit Xhaka ";"player";30
"Francis Coquelin ";"player";30
"Mesut Özil ";"player";30
"Alexis Sánchez ";"player";30
"Theo Walcott ";"player";30
"Danny Welbeck ";"player";30
"Emiliano Martínez ";"bench";30
"Gabriel Paulista ";"bench";30
"Kieran Gibbs ";"bench";30
"Mohamed Elneny ";"bench";30
"Ainsley Maitland-Niles ";"bench";30
"Alex Iwobi ";"bench";30
"Olivier Giroud ";"bench";30
"Emiliano Martínez ";"player";31
"Gabriel Paulista ";"player";31
"Shkodran Mustafi ";"player";31
"Nacho Monreal ";"player";31
"Héctor Bellerín ";"player";31
"Granit Xhaka ";"player";31
"Mohamed Elneny ";"player";31
"Mesut Özil ";"player";31
"Alexis Sánchez ";"player";31
"Theo Walcott  ";"player";31
"Danny Welbeck ";"player";31
"Matt Macey ";"bench";31
"Per Mertesacker ";"bench";31
"Kieran Gibbs ";"bench";31
"Aaron Ramsey ";"bench";31
"Alex Oxlade-Chamberlain ";"bench";31
"Alex Iwobi ";"bench";31
"Olivier Giroud ";"bench";31
"Wayne Hennessey ";"player";32
"Mamadou Sakho ";"player";32
"Martin Kelly ";"player";32
"Jeffrey Schlupp ";"player";32
"Joel Ward ";"player";32
"Luka Milivojevic ";"player";32
"Yohan Cabaye ";"player";32
"Jason Puncheon  ";"player";32
"Andros Townsend ";"player";32
"Wilfried Zaha ";"player";32
"Christian Benteke ";"player";32
"Julián Speroni ";"bench";32
"Damien Delaney ";"bench";32
"Zeki Fryers ";"bench";32
"Mathieu Flamini ";"bench";32
"James McArthur ";"bench";32
"Bakary Sako ";"bench";32
"Sullay Kaikai ";"bench";32
"Brad Guzan ";"player";33
"Ben Gibson ";"player";33
"Daniel Ayala ";"player";33
"Fábio ";"player";33
"Antonio Barragán ";"player";33
"Grant Leadbitter  ";"player";33
"Adam Clayton ";"player";33
"Marten de Roon ";"player";33
"Stewart Downing ";"player";33
"Gastón Ramírez ";"player";33
"Álvaro Negredo ";"player";33
"Dimitrios Konstantopoulos ";"bench";33
"Bernardo Espinosa ";"bench";33
"George Friend ";"bench";33
"Adam Forshaw ";"bench";33
"Adama Traoré ";"bench";33
"Patrick Bamford ";"bench";33
"Rudy Gestede ";"bench";33
"Petr Cech  ";"player";34
"Rob Holding ";"player";34
"Shkodran Mustafi ";"player";34
"Nacho Monreal ";"player";34
"Granit Xhaka ";"player";34
"Héctor Bellerín ";"player";34
"Kieran Gibbs ";"player";34
"Aaron Ramsey ";"player";34
"Mesut Özil ";"player";34
"Alexis Sánchez ";"player";34
"Olivier Giroud ";"player";34
"David Ospina ";"bench";34
"Gabriel Paulista ";"bench";34
"Francis Coquelin ";"bench";34
"Mohamed Elneny ";"bench";34
"Alex Iwobi ";"bench";34
"Theo Walcott ";"bench";34
"Danny Welbeck ";"bench";34
"Hugo Lloris  ";"player";35
"Jan Vertonghen ";"player";35
"Toby Alderweireld ";"player";35
"Ben Davies ";"player";35
"Kieran Trippier ";"player";35
"Victor Wanyama ";"player";35
"Eric Dier ";"player";35
"Christian Eriksen ";"player";35
"Dele Alli ";"player";35
"Heung-Min Son ";"player";35
"Harry Kane ";"player";35
"Michel Vorm ";"bench";35
"Kevin Wimmer ";"bench";35
"Kyle Walker ";"bench";35
"Mousa Dembélé ";"bench";35
"Moussa Sissoko ";"bench";35
"Georges-Kevin N'Koudou ";"bench";35
"Vincent Janssen ";"bench";35
"Petr Cech ";"player";36
"Laurent Koscielny ";"player";36
"Rob Holding ";"player";36
"Nacho Monreal ";"player";36
"Granit Xhaka ";"player";36
"Aaron Ramsey ";"player";36
"Alex Oxlade-Chamberlain ";"player";36
"Kieran Gibbs ";"player";36
"Mesut Özil ";"player";36
"Alexis Sánchez ";"player";36
"Danny Welbeck ";"player";36
"David Ospina ";"bench";36
"Gabriel Paulista ";"bench";36
"Héctor Bellerín ";"bench";36
"Francis Coquelin ";"bench";36
"Alex Iwobi ";"bench";36
"Theo Walcott ";"bench";36
"Olivier Giroud ";"bench";36
"Jack Butland ";"player";37
"Bruno Martins Indi ";"player";37
"Ryan Shawcross  ";"player";37
"Erik Pieters ";"player";37
"Glen Johnson ";"player";37
"Glenn Whelan ";"player";37
"Geoff Cameron ";"player";37
"Joe Allen ";"player";37
"Marko Arnautovic ";"player";37
"Xherdan Shaqiri ";"player";37
"Mame Diouf ";"player";37
"Lee Grant ";"bench";37
"Marc Muniesa ";"bench";37
"Charlie Adam ";"bench";37
"Ramadan Sobhi ";"bench";37
"Jonathan Walters ";"bench";37
"Saido Berahino ";"bench";37
"Peter Crouch ";"bench";37
"Petr Cech ";"player";38
"Gabriel Paulista ";"player";38
"Laurent Koscielny  ";"player";38
"Rob Holding ";"player";38
"Granit Xhaka ";"player";38
"Aaron Ramsey ";"player";38
"Héctor Bellerín ";"player";38
"Nacho Monreal ";"player";38
"Mesut Özil ";"player";38
"Alexis Sánchez ";"player";38
"Danny Welbeck ";"player";38
"David Ospina ";"bench";38
"Per Mertesacker ";"bench";38
"Francis Coquelin ";"bench";38
"Mohamed Elneny ";"bench";38
"Alex Iwobi ";"bench";38
"Theo Walcott ";"bench";38
"Olivier Giroud ";"bench";38
