"player";"lineup";"post";"matchday"
"Fernandinho";"starting";"Defensive Midfield";27
"Yaya Touré";"starting";"Central Midfield";27
"David Silva";"starting";"Attacking Midfield";27
"Leroy Sané";"starting";"Left Wing";27
"Raheem Sterling";"starting";"Right Wing";27
"Sergio Agüero";"starting";"Centre-Forward";27
"Claudio Bravo";"bench";"Keeper";27
"Nicolás Otamendi";"bench";"Centre-Back";27
"Fernando";"bench";"Defensive Midfield";27
"Fabian Delph";"bench";"Central Midfield";27
"Kevin De Bruyne";"bench";"Central Midfield";27
"Nolito";"bench";"Left Wing";27
"Kelechi Iheanacho";"bench";"Centre-Forward";27
"Willy Caballero";"starting";"Keeper";28
"Nicolás Otamendi";"starting";"Centre-Back";28
"Aleksandar Kolarov";"starting";"Centre-Back";28
"Gaël Clichy";"starting";"Left-Back";28
"Bacary Sagna";"starting";"Right-Back";28
"Fernandinho";"starting";"Defensive Midfield";28
"Yaya Touré";"starting";"Defensive Midfield";28
"Kevin De Bruyne";"starting";"Attacking Midfield";28
"Leroy Sané";"starting";"Left Wing";28
"Jesús Navas";"starting";"Right Wing";28
"Sergio Agüero";"starting";"Centre-Forward";28
"Claudio Bravo";"bench";"Keeper";28
"John Stones";"bench";"Centre-Back";28
"Pablo Zabaleta";"bench";"Right-Back";28
"Fabian Delph";"bench";"Central Midfield";28
"David Silva";"bench";"Right Midfield";28
"Nolito";"bench";"Left Wing";28
"Kelechi Iheanacho";"bench";"Centre-Forward";28
"Willy Caballero";"starting";"Keeper";29
"John Stones";"starting";"Centre-Back";29
"Nicolás Otamendi";"starting";"Centre-Back";29
"Gaël Clichy";"starting";"Left-Back";29
"Fernandinho";"starting";"Right-Back";29
"Yaya Touré";"starting";"Defensive Midfield";29
"David Silva";"starting";"Central Midfield";29
"Kevin De Bruyne";"starting";"Central Midfield";29
"Leroy Sané";"starting";"Left Wing";29
"Raheem Sterling";"starting";"Right Wing";29
"Sergio Agüero";"starting";"Centre-Forward";29
"Claudio Bravo";"bench";"Keeper";29
"Aleksandar Kolarov";"bench";"Left-Back";29
"Bacary Sagna";"bench";"Right-Back";29
"Fernando";"bench";"Defensive Midfield";29
"Aleix García";"bench";"Defensive Midfield";29
"Nolito";"bench";"Left Wing";29
"Kelechi Iheanacho";"bench";"Centre-Forward";29
"Willy Caballero";"starting";"Keeper";30
"John Stones";"starting";"Centre-Back";30
"Nicolás Otamendi";"starting";"Centre-Back";30
"Gaël Clichy";"starting";"Left-Back";30
"Jesús Navas";"starting";"Right-Back";30
"Fernandinho";"starting";"Defensive Midfield";30
"David Silva";"starting";"Central Midfield";30
"Kevin De Bruyne";"starting";"Central Midfield";30
"Leroy Sané";"starting";"Left Wing";30
"Raheem Sterling";"starting";"Right Wing";30
"Sergio Agüero";"starting";"Centre-Forward";30
"Claudio Bravo";"bench";"Keeper";30
"Vincent Kompany";"bench";"Centre-Back";30
"Aleksandar Kolarov";"bench";"Left-Back";30
"Pablo Zabaleta";"bench";"Right-Back";30
"Fabian Delph";"bench";"Central Midfield";30
"Yaya Touré";"bench";"Central Midfield";30
"Nolito";"bench";"Left Wing";30
"Willy Caballero";"starting";"Keeper";31
"Vincent Kompany";"starting";"Centre-Back";31
"John Stones";"starting";"Centre-Back";31
"Gaël Clichy";"starting";"Left-Back";31
"Jesús Navas";"starting";"Right-Back";31
"Fernandinho";"starting";"Defensive Midfield";31
"Fabian Delph";"starting";"Defensive Midfield";31
"David Silva";"starting";"Attacking Midfield";31
"Leroy Sané";"starting";"Left Wing";31
"Kevin De Bruyne";"starting";"Right Wing";31
"Sergio Agüero";"starting";"Centre-Forward";31
"Claudio Bravo";"bench";"Keeper";31
"Aleksandar Kolarov";"bench";"Left-Back";31
"Pablo Zabaleta";"bench";"Right-Back";31
"Fernando";"bench";"Defensive Midfield";31
"Yaya Touré";"bench";"Central Midfield";31
"Raheem Sterling";"bench";"Left Wing";31
"Nolito";"bench";"Left Wing";31
"Claudio Bravo";"starting";"Keeper";32
"John Stones";"starting";"Centre-Back";32
"Aleksandar Kolarov";"starting";"Centre-Back";32
