"player";"lineup";"post";"matchday"
"Ruben Loftus-Cheek";"bench";"Central Midfield";26
"Willian";"bench";"Attacking Midfield";26
"Michy Batshuayi";"bench";"Centre-Forward";26
"Thibaut Courtois";"starting";"Keeper";27
"David Luiz";"starting";"Centre-Back";27
"Gary Cahill";"starting";"Centre-Back";27
"César Azpilicueta";"starting";"Centre-Back";27
"N'Golo Kanté";"starting";"Defensive Midfield";27
"Cesc Fàbregas";"starting";"Defensive Midfield";27
"Victor Moses";"starting";"Right Midfield";27
"Marcos Alonso";"starting";"Left Midfield";27
"Eden Hazard";"starting";"Attacking Midfield";27
"Pedro";"starting";"Attacking Midfield";27
"Diego Costa";"starting";"Centre-Forward";27
"Asmir Begovic";"bench";"Keeper";27
"Kurt Zouma";"bench";"Centre-Back";27
"John Terry";"bench";"Centre-Back";27
"Nemanja Matic";"bench";"Defensive Midfield";27
"Ruben Loftus-Cheek";"bench";"Central Midfield";27
"Willian";"bench";"Attacking Midfield";27
"Michy Batshuayi";"bench";"Centre-Forward";27
"Asmir Begovic";"starting";"Keeper";28
"Nathan Aké";"starting";"Centre-Back";28
"Kurt Zouma";"starting";"Centre-Back";28
"John Terry";"starting";"Centre-Back";28
"N'Golo Kanté";"starting";"Defensive Midfield";28
"Nathaniel Chalobah";"starting";"Defensive Midfield";28
"César Azpilicueta";"starting";"Right Midfield";28
"Kenedy";"starting";"Left Midfield";28
"Eden Hazard";"starting";"Attacking Midfield";28
"Willian";"starting";"Attacking Midfield";28
"Michy Batshuayi";"starting";"Centre-Forward";28
"Eduardo";"bench";"Keeper";28
"Gary Cahill";"bench";"Centre-Back";28
"Marcos Alonso";"bench";"Left-Back";28
"Ola Aina";"bench";"Left-Back";28
"Cesc Fàbregas";"bench";"Defensive Midfield";28
"Pedro";"bench";"Centre-Forward";28
"Diego Costa";"bench";"Centre-Forward";28
"Thibaut Courtois";"starting";"Keeper";29
"David Luiz";"starting";"Centre-Back";29
"Gary Cahill";"starting";"Centre-Back";29
"César Azpilicueta";"starting";"Centre-Back";29
"Nemanja Matic";"starting";"Defensive Midfield";29
"N'Golo Kanté";"starting";"Defensive Midfield";29
"Victor Moses";"starting";"Right Midfield";29
"Marcos Alonso";"starting";"Left Midfield";29
"Pedro";"starting";"Attacking Midfield";29
"Willian";"starting";"Attacking Midfield";29
"Diego Costa";"starting";"Centre-Forward";29
"Asmir Begovic";"bench";"Keeper";29
"Nathan Aké";"bench";"Centre-Back";29
"Kurt Zouma";"bench";"Centre-Back";29
"Nathaniel Chalobah";"bench";"Defensive Midfield";29
"Cesc Fàbregas";"bench";"Central Midfield";29
"Ruben Loftus-Cheek";"bench";"Central Midfield";29
"Michy Batshuayi";"bench";"Centre-Forward";29
"Thibaut Courtois";"starting";"Keeper";30
"David Luiz";"starting";"Centre-Back";30
"Gary Cahill";"starting";"Centre-Back";30
"César Azpilicueta";"starting";"Centre-Back";30
"Nemanja Matic";"starting";"Defensive Midfield";30
"N'Golo Kanté";"starting";"Defensive Midfield";30
"Pedro";"starting";"Right Midfield";30
"Marcos Alonso";"starting";"Left Midfield";30
"Cesc Fàbregas";"starting";"Attacking Midfield";30
"Eden Hazard";"starting";"Attacking Midfield";30
"Diego Costa";"starting";"Centre-Forward";30
"Asmir Begovic";"bench";"Keeper";30
"Kurt Zouma";"bench";"Centre-Back";30
"John Terry";"bench";"Centre-Back";30
"Nathaniel Chalobah";"bench";"Defensive Midfield";30
"Ruben Loftus-Cheek";"bench";"Central Midfield";30
"Willian";"bench";"Right Wing";30
"Michy Batshuayi";"bench";"Centre-Forward";30
"Thibaut Courtois";"starting";"Keeper";31
"David Luiz";"starting";"Centre-Back";31
"Kurt Zouma";"starting";"Centre-Back";31
"Gary Cahill";"starting";"Centre-Back";31
"N'Golo Kanté";"starting";"Defensive Midfield";31
"Cesc Fàbregas";"starting";"Defensive Midfield";31
"César Azpilicueta";"starting";"Right Midfield";31
"Marcos Alonso";"starting";"Left Midfield";31
"Eden Hazard";"starting";"Attacking Midfield";31
"Pedro";"starting";"Attacking Midfield";31
"Diego Costa";"starting";"Centre-Forward";31
"Asmir Begovic";"bench";"Keeper";31
"Nathan Aké";"bench";"Centre-Back";31
"John Terry";"bench";"Centre-Back";31
"Nemanja Matic";"bench";"Defensive Midfield";31
"Ruben Loftus-Cheek";"bench";"Central Midfield";31
"Willian";"bench";"Right Wing";31
"Michy Batshuayi";"bench";"Centre-Forward";31
"Thibaut Courtois";"starting";"Keeper";32
"David Luiz";"starting";"Centre-Back";32
"Gary Cahill";"starting";"Centre-Back";32
"César Azpilicueta";"starting";"Centre-Back";32
"Nemanja Matic";"starting";"Defensive Midfield";32
"N'Golo Kanté";"starting";"Defensive Midfield";32
"Victor Moses";"starting";"Right Midfield";32
"Marcos Alonso";"starting";"Left Midfield";32
"Eden Hazard";"starting";"Attacking Midfield";32
"Pedro";"starting";"Attacking Midfield";32
"Diego Costa";"starting";"Centre-Forward";32
"Asmir Begovic";"bench";"Keeper";32
"Kurt Zouma";"bench";"Centre-Back";32
"John Terry";"bench";"Centre-Back";32
"Nathaniel Chalobah";"bench";"Defensive Midfield";32
"Cesc Fàbregas";"bench";"Central Midfield";32
"Willian";"bench";"Right Wing";32
"Michy Batshuayi";"bench";"Centre-Forward";32
"Asmir Begovic";"starting";"Keeper";33
"David Luiz";"starting";"Centre-Back";33
"Kurt Zouma";"starting";"Centre-Back";33
"Gary Cahill";"starting";"Centre-Back";33
"Nemanja Matic";"starting";"Defensive Midfield";33
"N'Golo Kanté";"starting";"Defensive Midfield";33
"Victor Moses";"starting";"Right Midfield";33
"César Azpilicueta";"starting";"Left Midfield";33
"Eden Hazard";"starting";"Attacking Midfield";33
